query_id,platform,session_surface,login_state,locale,language,region,axis,seed_term,seed_status,query,searched_at,result_count_reported,sample_size,relevant_count,autosuggest,related_terms,hashtags,creator_handles,source_urls,access_outcome,collector,notes
xhs_zh_001,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role,局头,verified,局头,2026-07-16,,,,局头带台游戏|局头备忘录游戏|局头得吃|酒吧局头是干啥的,局头带台手势|局头备忘录图片|局头怎么当|局头组局潜规则,,小董（长沙局头组局订台）|西宁酒吧组局SK,,success,codex_manual_review,前排可见组局流程、教程、避坑和创作者角色自称；平台联想直接长出备忘录与带台分支
xhs_zh_002,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role+format,局头备忘录,verified,局头备忘录,2026-07-16,,,,抓手指备忘录图片素材|局头带台游戏|酒吧备忘录小游戏图|局头组局文案素材,局头备忘录游戏|局头备忘录图片|酒吧局头备忘录|局头视力表,#抓手指游戏|#酒吧游戏玩法|#大冒险,酒蒙子的清醒日记,https://www.xiaohongshu.com/explore/6909ee7d0000000003022bfe,success,codex_manual_review,出现多个精确标题和“局头的记事本”等近义格式；属于强内容格式词
xhs_zh_003,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role+format,局头手册,ambiguous,局头手册,2026-07-16,,,,,局头游戏备忘录|局头笔记|局头怎么当|抢手局头是什么意思,,,,success,codex_manual_review,缺少稳定的精确标题；结果主要被平台改写到备忘录、记事本和笔记
xhs_zh_004,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role+format,局头笔记,candidate,局头笔记,2026-07-16,,,,,局头带台游戏|局头备忘录游戏|局头组局文案素材|局头怎么当|局头网课,#苏州|#聚会游戏|#组局|#酒搭子|#酒圈小知识,77-（苏州派对师）,https://www.xiaohongshu.com/explore/67d7bab5000000001a007a71,success,codex_manual_review,存在精确标题“抓手指之局头笔记版”但结果密度较弱；可作为通往局头网课的桥接词
xhs_zh_005,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role+game,局头带台游戏,verified,局头带台游戏,2026-07-16,,,,局头带台小游戏|局头备忘录游戏|酒局游戏抓手指|局头怎么当,酒吧带桌小游戏|抓手指备忘录游戏|带台游戏图|局头带台游戏玩法,#聚会游戏|#酒吧氛围组,X.x|77-（苏州派对师）,https://www.xiaohongshu.com/explore/689721d10000000023026ede|https://www.xiaohongshu.com/explore/67d7bab5000000001a007a71,success,codex_manual_review,抓手指、暖场、带台前摇和教程类结果集中；强玩法采集入口
xhs_zh_006,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role+series,局头网课,verified,局头网课,2026-07-16,,,,局头网课资源|局头网课内容|局头网课教学,局头网课内容有哪些|局头游戏备忘录,,上海酒吧 小黄鱼（店铺找我）,,success,codex_manual_review,出现同一创作者的编号系列和抓手指前摇、带台教学等精确标题；适合创作者反查
xhs_zh_007,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,hype_role,酒吧氛围组,ambiguous,酒吧氛围组,2026-07-16,,,,酒吧气氛组是干嘛的|酒吧氛围组是干什么的|清吧氛围组工作是什么,酒吧气氛员是干什么的|酒吧氛围组工作可行吗,#酒吧氛围组|#聚会游戏,奶片.（苏州派对师）,https://www.xiaohongshu.com/explore/689721d10000000023026ede,success,codex_manual_review,词项活跃但招聘、岗位、gogo和商业气氛组噪声很高；必须与玩法锚点组合
xhs_zh_008,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role,派对师,ambiguous,派对师,2026-07-16,,,,酒吧派对师|杭州派对师|派对师是什么梗|派对老师,酒吧派对师是什么意思|派对师工作|派对筹备员,,派對师PartyDesigner|苏州派对师LoLo|77-（苏州派对师）|奶片.（苏州派对师）,,success,codex_manual_review,存在真人自称和玩法创作者但也混入活动策划与职业服务；需搭配城市、酒吧或游戏词
xhs_zh_009,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role,酒吧派对师,ambiguous,酒吧派对师,2026-07-16,,,,酒吧派对师怎么报名入口|酒吧派对师是什么意思,酒吧派对师工作|酒局气氛组热烈纳新,,,,success,codex_manual_review,站内主要呈现岗位、报名和活动服务含义；可找从业创作者但不是干净的同伴游戏主持词
xhs_zh_010,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,game+gesture,抓手指前摇,verified,抓手指前摇,2026-07-16,,,,动作简单|疯狂版|完整版|小白跟练,抓手指前摇动作|抓手指带台前摇教程|抓手指前摇慢动作教学|酒吧游戏抓手指规则,,上海酒吧 小黄鱼（店铺找我）,https://www.xiaohongshu.com/explore/67cc14e30000000003028a60,success,codex_manual_review,精确系列标题与多条教程共现；前摇已从候选升级为强动作/主持词
xhs_zh_011,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,game+gesture,对抓对指,candidate,对抓对指,2026-07-16,,,,情侣互动|挑战,逆抓顺打|什么叫中抓|逢三抓手|双人默契带台,,sounding 丸子|耿秋（组局dd),https://www.xiaohongshu.com/explore/68573439000000002300536d|https://www.xiaohongshu.com/explore/67ab213c0000000018004461,success,codex_manual_review,有精确带台标题并带出局头必备攻略；但康复训练和数学噪声高
xhs_zh_012,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,role+format,局头必备攻略,verified,局头必备攻略,2026-07-16,,,,阵容推荐|开局技巧|新手,局头带台游戏|局头必备图片|优质局头|局头游戏备忘录|局头教学,#组局|#年轻人的社交新方式,耿秋（组局dd)|小小蛋🥚（组局版）,https://www.xiaohongshu.com/explore/67ab213c0000000018004461,success,codex_manual_review,同屏出现攻略、流程、备忘录、网课和抓手指大全；强内容格式入口
xhs_zh_013,xiaohongshu,in_app_browser,logged_in,zh-CN,zh-CN,CN,occasion+contact,组局dd,verified,组局dd,2026-07-16,,,,呼和浩特|西安|贵阳|兰州|上海,loop组局|同城组局|今晚组局搭子|今日组局,,,https://www.xiaohongshu.com/explore/6a5718170000000008031449,success,codex_manual_review,大量小时级和天级城市招募结果；属于联络口令而非玩法词；照片交换和商业招募需风险标注
